Downloaded from: https://gender-pay-gap.service.gov.uk/,,,,,,,,,,,,,,,,,,,,,,,,
Correct as of: 9th February 2020,,,,,,,,,,,,,,,,,,,,,,,,
EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted
1ST CHOICE STAFF RECRUITMENT LIMITED,"1ST CHOICE RECRUITMENT,
8 St. Loyes Street,
Bedford,
MK40 1EP",7972006,78109,-2.3,0,-114.8,-249.3,1.1,0.4,50.8,49.2,67.7,32.3,62.9,37.1,50,50,https://www.1stchoice.net/gender-pay-gap-report-2019/,Gill Knight (MD),250 to 499,1ST CHOICE STAFF RECRUITMENT LIMITED,FALSE,05/04/2020 00:00,24/01/2020 09:37
23.5 DEGREES LIMITED,"Unit 3 Hedge End Retail Park, Charles Watts Way,
Hedge End,
Southampton,
Hampshire,
England,
SO30 4RT",8014079,56103,10,0,79,35,4,2,32,68,28,72,30,70,31,69,https://www.23-5degrees.com/gender-pay-gap,Luca Contardo (CFO),500 to 999,23.5 DEGREES LIMITED,FALSE,05/04/2020 00:00,11/11/2019 15:33
A. & B. GLASS COMPANY LIMITED,"Addison Road,
Chilton Industrial Estate,
Sudbury,
Suffolk,
CO10 2YW",1543721,43342,19,4,42,45,70,41,77,23,83,17,76,24,90,10,,PHILIP FARNELL (GROUP HR MANAGER),250 to 499,A. & B. GLASS COMPANY LIMITED,FALSE,05/04/2020 00:00,20/05/2019 16:34
A.B.M. CATERING LIMITED,"Eagle Court,
63-67 Saltisford,
Warwick,
Warwickshire,
CV34 4AF",4168334,"56290,
70100",21.7,16.5,-70.3,61.5,15.1,6.5,14.8,85.2,5.8,94.2,12.2,87.8,33.9,66.1,http://www.abmcatering.co.uk/wp-content/uploads/2019/07/Gender-Pay-Gap-Report-2018.pdf,Sue Hill (Finance & HR Director - Operations),1000 to 4999,A.B.M. CATERING LIMITED,FALSE,05/04/2020 00:00,29/01/2020 12:20
A.G. BARR P.L.C.,"Westfield House,
4 Mollins Road,
Cumbernauld,
G68 9HD",SC005653,11070,2.3,-6.8,41.9,-3,93.1,94.3,78,22,70,30,76,24,65,35,https://www.agbarr.co.uk/responsibility/we-act-with-integrity/,Doug Brown (Head of Human Resources),500 to 999,A.G. BARR P.L.C.,FALSE,05/04/2020 00:00,23/01/2020 11:57
AB AGRI LIMITED,"Weston Centre,
10 Grosvenor Street,
London,
W1K 4QY",193800,10910,9.4,-11.8,35.1,32.6,87,49,65.6,34.4,87.1,12.9,64.8,35.2,72,28,https://www.abagri.com/responsibility/our-policies,Jose Nobre (Chief Executive),1000 to 4999,AB AGRI LIMITED,FALSE,05/04/2020 00:00,19/12/2019 10:33
Abbeyfield Wales Society,"Pagefield House,
24 Gold Tops,
Newport,
NP20 4PG",,"87100,
87300",17.1,28.2,nan,,0,0,20,80,23.2,76.8,1.8,98.2,8.9,91.1,,Ellen Moore (HR Manager),Less than 250,Abbeyfield Wales Society,FALSE,05/04/2020 00:00,16/04/2019 14:07
ABERDEEN ASSET MANAGEMENT PLC,"10 Queen's Terrace,
Aberdeen,
Aberdeenshire,
United Kingdom,
AB10 1XL",SC082015,64205,29.7,20.7,46.1,35.9,89.3,87.9,43.2,56.8,48.4,51.6,58.7,41.3,64.6,35.4,https://www.standardlifeaberdeen.com/__data/assets/pdf_file/0017/49220/Gender-report-Dec-2019.pdf,Keith Skeoch (CEO),"5000 to 19,999",ABERDEEN ASSET MANAGEMENT PLC,FALSE,05/04/2020 00:00,23/01/2020 09:23
ABERDEEN ASSET MANAGERS LIMITED,"10 Queen's Terrace,
Aberdeen,
Aberdeenshire,
United Kingdom,
AB10 1XL",SC108419,64999,42,38.6,73.8,72.8,93.9,95.2,48.8,51.2,51.2,48.8,70.3,29.7,83.1,16.9,https://www.standardlifeaberdeen.com/__data/assets/pdf_file/0017/49220/Gender-report-Dec-2019.pdf,Keith Skeoch (CEO),"5000 to 19,999",ABERDEEN ASSET MANAGERS LIMITED,FALSE,05/04/2020 00:00,23/01/2020 09:25
ABERDEEN SPORTS VILLAGE LIMITED,"The Capitol,
431 Union Street,
Aberdeen,
United Kingdom,
AB11 6DA",SC327879,93110,3.9,0.4,70.8,58.3,4.6,0.6,20,80,41.5,58.5,41.5,58.5,31.2,68.8,https://www.aberdeensportsvillage.com,Duncan Sinclair (Chief Executive),250 to 499,ABERDEEN SPORTS VILLAGE LIMITED,FALSE,05/04/2020 00:00,11/12/2019 16:32
