SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE
100002,1,M,N,Y,0,202500.0,406597.5,351000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,-9461,-637,Laborers
100003,0,F,N,N,0,270000.0,1293502.5,1129500.0,State servant,Higher education,Married,House / apartment,0.0035409999999999994,-16765,-1188,Core staff
100004,0,M,Y,Y,0,67500.0,135000.0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.010032,-19046,-225,Laborers
100006,0,F,N,Y,0,135000.0,312682.5,297000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-19005,-3039,Laborers
100007,0,M,N,Y,0,121500.0,513000.0,513000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-19932,-3038,Core staff
100008,0,M,N,Y,0,99000.0,490495.5,454500.0,State servant,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-16941,-1588,Laborers
100009,0,F,Y,Y,1,171000.0,1560726.0,1395000.0,Commercial associate,Higher education,Married,House / apartment,0.035792000000000004,-13778,-3130,Accountants
100010,0,M,Y,Y,0,360000.0,1530000.0,1530000.0,State servant,Higher education,Married,House / apartment,0.0031219999999999998,-18850,-449,Managers
100011,0,F,N,Y,0,112500.0,1019610.0,913500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-20099,365243,
100012,0,M,N,Y,0,135000.0,405000.0,405000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.019688999999999998,-14469,-2019,Laborers
100014,0,F,N,Y,1,112500.0,652500.0,652500.0,Working,Higher education,Married,House / apartment,0.0228,-10197,-679,Core staff
100015,0,F,N,Y,0,38419.155,148365.0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-20417,365243,
100016,0,F,N,Y,0,67500.0,80865.0,67500.0,Working,Secondary / secondary special,Married,House / apartment,0.031329,-13439,-2717,Laborers
100017,0,M,Y,N,1,225000.0,918468.0,697500.0,Working,Secondary / secondary special,Married,House / apartment,0.016612000000000002,-14086,-3028,Drivers
100018,0,F,N,Y,0,189000.0,773680.5,679500.0,Working,Secondary / secondary special,Married,House / apartment,0.010006000000000001,-14583,-203,Laborers
100019,0,M,Y,Y,0,157500.0,299772.0,247500.0,Working,Secondary / secondary special,Single / not married,Rented apartment,0.020713,-8728,-1157,Laborers
100020,0,M,N,N,0,108000.0,509602.5,387000.0,Working,Secondary / secondary special,Married,House / apartment,0.018634,-12931,-1317,Drivers
100021,0,F,N,Y,1,81000.0,270000.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0.010966,-9776,-191,Laborers
100022,0,F,N,Y,0,112500.0,157500.0,157500.0,Working,Secondary / secondary special,Widow,House / apartment,0.04622,-17718,-7804,Laborers
100023,0,F,N,Y,1,90000.0,544491.0,454500.0,State servant,Higher education,Single / not married,House / apartment,0.015221,-11348,-2038,Core staff
100024,0,M,Y,Y,0,135000.0,427500.0,427500.0,Working,Secondary / secondary special,Married,House / apartment,0.015221,-18252,-4286,Laborers
100025,0,F,Y,Y,1,202500.0,1132573.5,927000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-14815,-1652,Sales staff
100026,0,F,N,N,1,450000.0,497520.0,450000.0,Working,Secondary / secondary special,Married,Rented apartment,0.020713,-11146,-4306,Sales staff
100027,0,F,N,Y,0,83250.0,239850.0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.006296,-24827,365243,
100029,0,M,Y,N,2,135000.0,247500.0,247500.0,Working,Secondary / secondary special,Married,House / apartment,0.026392000000000002,-11286,-746,Drivers
100030,0,F,N,Y,0,90000.0,225000.0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0.028663,-19334,-3494,Cleaning staff
100031,1,F,N,Y,0,112500.0,979992.0,702000.0,Working,Secondary / secondary special,Widow,House / apartment,0.018029,-18724,-2628,Cooking staff
100032,0,M,N,Y,1,112500.0,327024.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0.019101,-15948,-1234,Laborers
100033,0,M,Y,Y,0,270000.0,790830.0,675000.0,State servant,Higher education,Single / not married,House / apartment,0.04622,-9994,-1796,
100034,0,M,N,Y,0,90000.0,180000.0,180000.0,Working,Higher education,Single / not married,With parents,0.030755,-10341,-1010,Laborers
100035,0,F,N,Y,0,292500.0,665892.0,477000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-15280,-2668,
100036,0,F,N,Y,0,112500.0,512064.0,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008575,-11144,-1104,Private service staff
100037,0,F,N,N,0,90000.0,199008.0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010032,-12974,-4404,Laborers
100039,0,M,Y,N,1,360000.0,733315.5,679500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.015221,-11694,-2060,Drivers
100040,0,F,N,Y,0,135000.0,1125000.0,1125000.0,State servant,Higher education,Married,House / apartment,0.019688999999999998,-15997,-4585,Core staff
100041,0,F,N,N,0,112500.0,450000.0,450000.0,Working,Higher education,Married,House / apartment,0.008575,-12158,-1275,Sales staff
100043,0,F,N,Y,2,198000.0,641173.5,553500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.01885,-17199,-768,Private service staff
